decade,Fell
1680,1
1710,1
1720,1
1740,2
1750,3
1760,3
1770,2
1780,2
1790,7
1800,16
1810,22
1820,20
1830,18
1840,26
1850,33
1860,52
1870,46
1880,37
1890,47
1900,51
1910,58
1920,60
1930,82
1940,49
1950,50
1960,47
1970,50
1980,44
1990,47
2000,54
2010,12
